HEADWORD,WORD,NEXT,FEAT,DERFROM,GRAD
punoa,puno,/v,,
kiekua,kiek>u,/v,,
kiintyä,kiint>y,/v,,
muistaa,muist{aØe},/v,,
johtaa,joht>{aØe},/v,,
kylvää,kylv{äØe},/v,,
nyhtää,nyht>{äØe},/v,,
kaataa,kaa{tds}{aØe},/v,,
huutaa,huu{tds}{aØe},/v,,
pyytää,pyy{tds}{äØe},/v,,
löytää,löy{tds}{äØe},/v,,
soutaa,sou{tds}{aØe},/v,,
häätää,hää{tds}{äØe},/v,,
puoltaa,puol{tls}{aØe},/v,,
yltää,yl{tls}{äØe},/v,,
murtaa,mur{trs}{aØe},/v,,
piirtää,piir{trs}{äØe},/v,,
sortaa,sor{trs}{aØe},/v,,
pahentaa,pahen{tns}{aØe},/v,,
myöntää,myön{tns}{äØe},/v,,
kaivaa,kaiv{aoe},/v,,
ahtaa,aht>{aoe},/v,,
haastaa,haast{aoØe},/v,,
laittaa,laitt>{aoØe},/v,,
paistaa,paist{aoØe},/v,,
taittaa,taitt>{aoØe},/v,,
saartaa,saar{trs}{aoØe},/v,,
laskea,lask{eiØ},/v,,
lukea,luk>{eiØ},/v,,
tuntea,tun{tns}{eiØ},/v,,
potea,po{tds}{eiØ},/v,,
lähteä,lä,lä-hte/v,,
sallia,sall{iØ},/v,,
onkia,onk>{iØ},/v,,
omia,om{iØ},/v,,
oppia,opp>{iØ},/v,,
ajelehtia,ajeleht>{iØ},/v,,
voida,vo{iØ},/v,,
naida,na{iØ},/v,,
revidoida,revido{iØ},/v,,
yksilöidä,yksilö{iØ},/v,,
saada,sa{VØ},/v,,
jäädä,jä{VØ},/v,,
myydä,my{VØ},/v,,
juoda,j{uØ}o,/v,,
lyödä,l{yØ}ö,/v,,
viedä,v{iØ}e,/v,,
käydä,kä,kä-y/v,,
nuolaista,nuolais{eØ},/v,,
vilaista,vil<ais{eØ},/v,,
vikistä,vikis{eØ},/v,,
läväistä,läv<äis{eØ},/v,,
tulla,tul{eØ},/v,,
niellä,niel{eØ},/v,,
purra,pur{eØ},/v,,
pierrä,pier{eØ},/v,,
mennä,men{eØ},/v,,
panna,pan{eØ},/v,,
katsella,katsel{eØe},/v,,
ajatella,ajat<el{eØe},/v,,
hymähdellä,hymähd<el{eØe},/v,,
arvailla,arvail{eØe},/v,,
pälyillä,pälyil{eØe},/v,,
haravoida,haravo,haravo-i/v,,
näpelöidä,näpelö,haravo-i/v,,
valita,vali,vali-tse/v,,
häiritä,häiri,vali-tse/v,,
tilkitä,tilki,vali-tse/v,,
juosta,juo,juo-kse/v,,
piestä,pie,juo-kse/v,,
tehdä,te,nä-ke/v,,
nähdä,nä,nä-ke/v,,
hapata,hap<a,ale-ne/v,,
erata,er<a,ale-ne/v,,
paeta,pa<e,ale-ne/v,,
vanheta,vanhe,ale-ne/v,,
oieta,oi<e,ale-ne/v,,
rohjeta,rohj<e,ale-ne/v,,
urjeta,urj<e,ale-ne/v,,
toeta,to<e,ale-ne/v,,
synketä,synk<e,ale-ne/v,,
enetä,ene,ale-ne/v,,
salata,sala,sala-V/v,,
tallata,talla,sala-V/v,,
vallata,vall<a,sala-V/v,,
temmata,temm<a,sala-V/v,,
suunnata,suunn<a,sala-V/v,,
kipata,kip<a,sala-V/v,,
pumpata,pump<a,sala-V/v,,
sotata,sot<a,sala-V/v,,
muata,mu<a,sala-V/v,,
ravata,rava,sala-V/v,,
ravata,rav<a,sala-V/v,,
salvata,salv<a,sala-V/v,,
myödätä,myöd<ä,sala-V/v,,
iätä,i<ä,sala-V/v,,
peljätä,pelj<ä,sala-V/v,,
pelätä,pel<ä,sala-V/v,,
todeta,tod<e,katke-A/v,,
katketa,katke,katke-A/v,,
oieta,oi<e,katke-A/v,,
lohjeta,lohj<e,katke-A/v,,
haljeta,halj<e,katke-A/v,,
kammeta,kamm<e,katke-A/v,,
raueta,rau<e,katke-A/v,,
teljetä,telj<e,katke-A/v,,
nimetä,nime,katke-A/v,,
lämmitä,lämm<i,selvi-A/v,,
selvitä,selvi,selvi-A/v,,
siitä,si<i,selvi-A/v,,
laota,la<o,koho-A/v,,
padota,pad<o,koho-A/v,,
singota,sing<o,koho-A/v,,
seota,se<o,koho-A/v,,
kohota,koho,koho-A/v,,
koota,ko<o,koho-A/v,,
jymytä,jymy,koho-A/v,,
liiduta,liid<u,halu-A/v,,
kummuta,kumm<u,halu-A/v,,
haluta,halu,halu-A/v,,
kivuta,kiv<u,halu-A/v,,
älytä,äly,halu-A/v,,
öljytä,öljy,halu-A/v,,
ryöpytä,ryöp<y,halu-A/v,,
palata,pala,pala-V/v,,
kaivata,kaiv<a,pala-V/v,,
hyljätä,hylj<ä,pala-V/v,,
hylätä,hyl<ä,pala-V/v,,
levätä,lev<ä,pala-V/v,,
kohista,koh,kih-ise/v,,
kihistä,kih,kih-ise/v,,
ölistä,öl,öl-ise/v,,
rakentaa,rake,rake-ntA/v,,
lyhentää,lyhe,rake-ntA/v,,
taitaa,tai,tai-tA/v,,
tietää,***,**,,
antautua,antau,antau-tU/v,,
repeytyä,repey,antau-tU/v,,
kaata,kaa,kaa-ta/v,,
taita,tai,kaa-ta/v,,
tuta,tu,kaa-ta/v,,
